pto_no,pto_name,declared_routes,parsed_routes_count
NTSA/RSN-0394,MWIKI PSV SACCO SOCIETY LIMITED,13,13
NTSA/RSN-0397,MWIRONA SACCO LTD,3,3
NTSA/RSN-0399,NABOKA TRAVELLERS SACCO,5,5
NTSA/RSN-0401,NAGIRU 145 SACCO,5,5
NTSA/RSN-01798,Nailepu Travellers Sacco,5,5
NTSA/RSN-0409,NAKAM SACCO SOCIETY LIMITED,7,7
NTSA/RSN-0410,NAKAMATA SAVINGS AND CREDIT COOPERATIVE SOCIETY LTD,14,14
NTSA/RSN-0412,NAKASKI TRANSORT SAVINGS CREDIT SACCO LTD,8,8
NTSA/RSN-0413,NAKATHI TRAVELLERS SACCO LIMITED,12,12
NTSA/RSN-0414,NAKILI SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,9,9
NTSA/RSN-0782,NAKINDUKA MATATU SAVINGS AND CREDIT COOPERATIVE SOCIETY LIMITED,2,2
NTSA/RSN-0423,NAKWE TRAVELLERS SACCO SOCIETY LTD,4,4
NTSA/RSN-0435,NANGKIS MATATU SACCO,15,15
NTSA/RSN-0442,NAWAKU SACCO,8,8
NTSA/RSN-01896,NAWAKU TRAVELLERS LIMITED,3,3
NTSA/RSN-0443,NAWASUKU SACCO,6,6
NTSA/RSN-0444,NAZIGI SACCO LIMITED,19,19
NTSA/RSN-0445,NEEMA TRAVELLERS AGENCY LIMITED,17,17
NTSA/RSN-0448,NEO KENYA MPYA COMMUTERS LIMITED,9,9
NTSA/RSN-0455,NGOKANA SAVINGS AND CREDIT COOPERATIVE SOCIETY,4,4
NTSA/RSN-0456,NGONG TRAVELLERS SACCO,10,10
NTSA/RSN-0457,NGUMO-LINE SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,6,6
NTSA/RSN-1112,NICCO MOVERS LIMITED,6,7
NTSA/RSN-0464,NKIKAN SACCO SOCIETY LIMITED,8,8
NTSA/RSN-0495,OBAMANA TRAVELLERS SACCO,6,6
NTSA/RSN-0499,ONGATA LINE TRANSPORTERS LIMITED,3,3
NTSA/RSN-0500,ongata rongai bus services,6,6
NTSA/RSN-0501,OROKISE SACCO LTD,11,11
NTSA/RSN-0502,OROMATS SACCO SOCIETY LTD,13,13
NTSA/RSN-0503,OUTER CIRCLE SACCO,6,6
NTSA/RSN-0504,OUTREACH TRAVEL,8,8
NTSA/RSN-0506,PAKIN ALICIA SACCO SOCIETY LTD,14,14
NTSA/RSN-01749,PALS MATATU SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,2,2
NTSA/RSN-3487,peja travellers limited,3,3
NTSA/RSN-3487,peja travellers limited,3,3
NTSA/RSN-0508,PEJO TECH COMPANY LTD,4,4
NTSA/RSN-0510,PINPOINT SOLUTION (K) LTD,11,11
NTSA/RSN-0513,prime  transcity limited,14,14
NTSA/RSN-0516,QUE SERVICES SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,8,8
NTSA/RSN-02043,RAJ SAFARIS LIMITED,3,3
NTSA/RSN-4328,rasasi travellers limited,5,5
NTSA/RSN-0523,REMBO SHUTTLE SAVINGS AND CREDIT SACCO LTD,14,14
NTSA/RSN-1912,RISEN COMPANY LIMITED,10,10
NTSA/RSN-0527,ROG TRAVELLERS SAVINGS AND CREDIT COOPERATIVE SOCIETY LTD,11,11
NTSA/RSN-0529,RONGAO SAVING AND CREDIT COOPERATIVE SOCIETY LIMITED,10,10
NTSA/RSN-0532,ROYAL SWIFT EXPRESS LIMITED,7,7
NTSA/RSN-0533,RUKAGINA 44 SACCO,8,8
NTSA/RSN-0534,RUKINE TRAVELLERS SAVINGS AND CREDIT CO-OPERATVE SOCIETY LIMITED,6,6
NTSA/RSN-0536,RUNKA SERVICES COOPERATIVE SAVINGS AND CREDIT SOCIETY LTD,8,8
NTSA/RSN-0537,RWAKEN INVESTMENTS LIMITED,6,6
NTSA/RSN-02025,RWARE TRAVELLERS SACCO,2,2
NTSA/RSN-4063,SAFELINE MATATU SOCCO SOCIETY LIMITED,3,3
NTSA/RSN-02033,SALTY BIZADA INVESTMENT LIMITED,3,3
NTSA/RSN-02042,SALTY INVESTMENTS LIMITED,3,3
NTSA/RSN-6455,SALTY SUPPORTERS INVESTMENT LIMITED,5,4
NTSA/RSN-0547,SERIAN SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,11,11
NTSA/RSN-0548,seven city shuttle limited,2,2
NTSA/RSN-01767,SINGLE LINE SERVICES LIMITED,4,4
NTSA/RSN-1900,SMOKE CITY SACCO LIMITED,4,4
NTSA/RSN-0563,SNOWBALL SACCO SOCIETY LTD,8,8
NTSA/RSN-019122,SONY CLASSIC SHUTTLE EAST AFRICA LIMITED,3,3
NTSA/RSN-019122,SONY CLASSIC SHUTTLE EAST AFRICA LIMITED,3,3
NTSA/RSN-0566,SOUTH B MATATU OWNERS SACCO SOCIETY LTD,6,6
NTSA/RSN-02030,SOUTHLEIGH S LIMITED,3,3
NTSA/RSN-8117,SOUTHLEIGH SAVINGS AND CREDIT COOPERATIVE SOCIETY LIMITED,3,3
NTSA/RSN-5361,SOWETAMU TRAVELLERS SACCO,5,5
NTSA/RSN-0572,ST. MARYS TRANSPORT SACCO SOCIETY,9,9
NTSA/RSN-0573,STAHITO  COMMUTER  SERVICES CO. LIMITED,7,7
NTSA/RSN-0574,STARBUS COMPANY (K) LTD,11,11
NTSA/RSN-01754,SUMMA TRANSPORTERS SACCO LIMITED,2,2
NTSA/RSN-0579,SUNBIRD SERVICES LTD,7,7
NTSA/RSN-0580,SUPER HIGHWAY 45 SACCO SOCIETY LTD,9,9
NTSA/RSN-0581,SUPER METRO LIMITED,12,12
NTSA/RSN-0322,SUPER TRAM LIMITED,7,7
NTSA/RSN-01355,SURMOUNT SHUTTLE LIMITED,2,2
NTSA/RSN-0592,tawala shuttle limited,4,4
NTSA/RSN-01725,TELAVIV TRAVELLERS LIMITED,9,9
NTSA/RSN-0605,THOMAT SAVINGS AND CREDIT COPPERATIVE SOCIETY LIMITED,9,9
NTSA/RSN-01757,TIKAGI SAVINGS AND CREDIT COOPERATIVE SOCIETY LIMITED,6,6
NTSA/RSN-0610,TRANSNOMICS COMPANY LIMITED,5,5
NTSA/RSN-01718,TRANSWORLD TRANSPORT SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,7,7
NTSA/RSN-0613,TRAVEL MART LIMITED,3,3
NTSA/RSN-01750,UKAKINA MATATU OWNERS SACCO SOCIETY LTD,1,1
NTSA/RSN-5948,UMMOINNER CLASS LIMITED,4,3
NTSA/RSN-0620,UMOINNER SACCO LTD,12,12
NTSA/RSN-0621,UMOJA INNERCORE TENA MATATU OWNERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,6,6
NTSA/RSN-0623,UNIFIED INTERNATIONAL LIMITED,9,9
NTSA/RSN-1901,UNIMAX CLASSIC TRAVELLERS SACCO,4,4
NTSA/RSN-0625,UTAWALA BY-PASS TRAVELLERS SACCO,8,8
NTSA/RSN-01745,VIRGINIA COACH ENTERPRISE LIMITED,3,3
NTSA/RSN-0632,WAKIMALI TRAVELLERS CO. LIMITED,10,10
NTSA/RSN-0633,WALOKANA MULTIPURPOSE CO-OPERATIVE SOCIETY LTD,5,5
NTSA/RSN-02044,WANJO PATRAMES TRAVEL COMPANY LIMITED,3,3
NTSA/RSN-0716,WELKAN 48 TRAVELLERS SACCO SOCIETY LTD,3,3
NTSA/RSN-02057,WELKAN TRAVELLERS SERVICES LIMITED,2,2
NTSA/RSN-0641,WEST MADARAKA ROUTE 14 COOPERATIVE SACCO.,4,4
NTSA/RSN-2704,zam zam fourty five limited,8,8
NTSA/RSN-0655,ZURI GENESIS CO. LIMITED,7,7
