pto_no,pto_name,permit_id,is_intercity,route_text
NTSA/RSN-7779,ARBAB VENTURES LIMITED,ADR-POKSRLV,True,"Machakos, SyokimauImara daimaSouth bSouth cNgumoLikoni rdIndustrial areaEastleighGikombaBusstationJogoo rdOutering rdDonholm Fedha juja rd thika rd kangundo rdutawala westlands parklands KNH nairobi west, langata"
NTSA/RSN-7779,ARBAB VENTURES LIMITED,ADR-VYAS9K2,True,"machakos, syokimau,imara daima,south b,south c,ngumo,likoni rd,industrial area,eastleigh,gikomba,busstation,jogoo rd,outering rd,donholm, fedha"
NTSA/RSN-7779,ARBAB VENTURES LIMITED,ADR-Q5LCMKD,True,"machakos, syokimau,imara daima,south b,south c,ngumo,likoni rd,industrial area,eastleigh,gikomba,busstation,jogoo rd,donholm, fedha"
NTSA/RSN-0030,BABA DOGO 25 TRAVELLERS SACCO,NTR-00201910081316170,False,"odeon, muranga rd terminus,thika rd,alsops,baba dogo,outering rd,caltex, donholm"
NTSA/RSN-0030,BABA DOGO 25 TRAVELLERS SACCO,ADR-BQ9S3MQ,False,"Odeon, Muranga rd terminus(via forest rd)thika rdalsopsbaba dogo outering rd caltex juja rd kariokor, donholm"
NTSA/RSN-0030,BABA DOGO 25 TRAVELLERS SACCO,ADR-REOSLYL,False,"Odeon, Muranga rd terminus(via forest rd) thika rdalsops roysambu lucky summer baba dogo outering rd caltex kangundo rd ruai junction utawala city cabanas donholm juja rd, kariokor"
NTSA/RSN-0030,BABA DOGO 25 TRAVELLERS SACCO,ADR-MDMSAEM,False,"odeon, thika road, babadogo"
NTSA/RSN-0030,BABA DOGO 25 TRAVELLERS SACCO,ADR-YM3SEJ6,False,"odeon, babadogo, thika road"
NTSA/RSN-0032,BAKAKI 101 TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,NTR-00201911291135300,False,"Kiambu, Bypass Ruaka Banana Ndenderu Wangige Kikuyu Rusingiti Kamangu Thigio Mutarakwa Limuru, Tigoni"
NTSA/RSN-0032,BAKAKI 101 TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,ADR-2DVSRWK,False,"Kiambu, BananaRuakaNdenderuWangigeKikuyuRusingitiKamanguThigioMutarakwaLimuru, Tigoni"
NTSA/RSN-0032,BAKAKI 101 TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,ADR-K9BF6JM,False,"kiambu, banana, limuru"
NTSA/RSN-0037,BANANA HILL MATATU SACCO LTD,NTR-00202107191137140,False,"Banana, Kiambu Nairobi thika rd ruiru thika, Soko mjinga via limuru"
NTSA/RSN-0037,BANANA HILL MATATU SACCO LTD,NTR-00202211011757100,False,"Thika, Ruiru Kiambu, Olkalou via Banana"
NTSA/RSN-0037,BANANA HILL MATATU SACCO LTD,ADR-7WRS96P,False,"banana, kiambu, nairobi, thika road, ruiru, thika"
NTSA/RSN-0037,BANANA HILL MATATU SACCO LTD,ADR-BQ9SQ6V,False,"banana, thika,commercial, kiambu"
NTSA/RSN-0037,BANANA HILL MATATU SACCO LTD,ADR-REOSZKQ,False,"banana, commercial, kiambu, thika"
NTSA/RSN-0039,BENJO( K) LTD,NTR-00833,True,"Embu, Kitui, Mwingi and Back"
NTSA/RSN-0039,BENJO( K) LTD,NTR-001425,True,"Busstation, jogoo rd,Muthurwa,Gikomba,Kariokor,Juja Rd,Outering Rd,Allsops,Kariobangi Roundabout,kangundo rd,ruai,joska,malaa,tala,Thika,kiskioni,donyosabuku,kilimambogo, Nyeri and Back"
NTSA/RSN-0039,BENJO( K) LTD,NTR-00741,True,"Bus Station, Jogoo rd Muthurwa Gikomba Kariokor Juja Rd OuteringRd Allsops Kariobangi dandora Moslem machakos mlolongo mombasa rd Cabanas EasternBypass Utawala Ruiru Roundabout kangundo rd ruai joska malaa tala Thika Makongeni kiskioni donyosabuk kilimambogo, Nyeri"
