pto_no,sacco_clean,route_hints,pto_name_raw,declared_routes,parsed_routes_count
NTSA/RSN-0209,Kani Transport,,KANI TRANSPORT SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,9,9
NTSA/RSN-0215,Kariobangi,,KARIOBANGI MATATU OWNERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,14,14
NTSA/RSN-0217,Karuri Commuters Services Savings AND Credit Co-opertaive Society,,KARURI COMMUTERS SERVICES SAVINGS AND CREDIT CO-OPERTAIVE SOCIETY LIMITED,13,13
NTSA/RSN-0223,Kawangware Matatu,,KAWANGWARE MATATU SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,2,2
NTSA/RSN-0224,Kayo-line Group Company,,kayo-line group company limited,6,6
NTSA/RSN-0228,KBS,,KENYA BUS SERVICE MANAGEMENT LIMITED,24,23
NTSA/RSN-0231,Kiambu Marafiki,,KIAMBU MARAFIKI SACCO LTD,6,6
NTSA/RSN-2613,Kiambu United,,KIAMBU UNITED TRAVELLERS SACCO LIMITED,1,1
NTSA/RSN-0233,Kibera Bureti,,KIBERA BURETI SACCO,10,10
NTSA/RSN-0234,Kibera,,KIBERA MATATU OWNERS COOPERATIVE SAVINGS AND CREDIT SOCIETY LIMITED,8,8
NTSA/RSN-0236,Kidagi,,KIDAGI SACCO,4,4
NTSA/RSN-0244,Killeton Commuters Services Savings AND Credit Cooperative,,KILLETON COMMUTERS SERVICES SAVINGS AND CREDIT COOPERATIVE LTD,8,8
NTSA/RSN-0247,Kimma,,KIMMA SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,18,18
NTSA/RSN-0255,Kiragi,,KIRAGI TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,6,6
NTSA/RSN-0269,Kiwaliru,,KIWALIRU SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,10,10
NTSA/RSN-0271,Kizali,,KIZALI TRAVELLERS LIMITED,12,12
NTSA/RSN-0277,Ksmt,,KSMT SACCO LTD,5,5
NTSA/RSN-0285,Lankana Society,,LANKANA SACCO SOCIETY LIMITED,4,4
NTSA/RSN-0286,Latema Sacco,22,LATEMA 22 TRAVELLERS SACCO,11,11
NTSA/RSN-01898,Libera Impex,,LIBERA IMPEX LIMITED,19,17
NTSA/RSN-0288,Likambu Matatu,,LIKAMBU MATATU SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,5,5
NTSA/RSN-0293,Lira Line Society,,LIRA LINE SACCO SOCIETY LTD,7,7
NTSA/RSN-0294,Lopha,,LOPHA MULTIPURPOSE CO-OPERATIVE SOCIETY,16,16
NTSA/RSN-01900,Lothian Transporters,,LOTHIAN TRANSPORTERS,6,6
NTSA/RSN-0296,Lucky Baba Dogo,,LUCKY BABA DOGO TRAVELLERS LIMITED,7,7
NTSA/RSN-0297,Lucky Transporters Company,,LUCKY TRANSPORTERS COMPANY,13,13
NTSA/RSN-0298,Luminous Shuttles,,LUMINOUS SHUTTLES LIMITED,10,10
NTSA/RSN-0302,Madiwa,,MADIWA MATATU OWNERS SACCO,8,7
NTSA/RSN-02001,Mambigi,,MAMBIGI SERVICES LIMITED,3,3
NTSA/RSN-02005,Manama,,MANAMA TRAVELLERS LIMITED,2,2
NTSA/RSN-0319,Manchester Coach,,MANCHESTER TRAVELLERS COACH LIMITED,12,12
NTSA/RSN-0321,Manmo,,MANMO SACCO,5,5
NTSA/RSN-01743,Maruti T.r.r,,MARUTI T.R.R SACCO,4,4
NTSA/RSN-0327,MAT TWO Friends,,mat two friends limited,8,8
NTSA/RSN-02009,Matatu Crew Association,,MATATU CREW ASSOCIATION SACCO,4,4
NTSA/RSN-0705,Maverous Shuttle,,MAVEROUS SHUTTLE LIMITED,6,6
NTSA/RSN-02000,Meruit Logistics,,MERUIT LOGISTICS LIMITED,6,6
NTSA/RSN-0345,Metrotrans East Africa,,METROTRANS EAST AFRICA LIMITED,23,23
NTSA/RSN-0353,MNK Society,,MNK SACCO SOCIETY LTD,9,9
NTSA/RSN-0372,Moonlight Coach CO,,moonlight coach co. limited,1,1
NTSA/RSN-02026,Msafi,,MSAFI TRAVELLERS LIMITED,3,2
NTSA/RSN-0393,Mwamba,,MWAMBA TRAVELLERS SACCO,5,5
NTSA/RSN-4282,Mwanzo Mpya Shuttles,,MWANZO MPYA SHUTTLES LIMITED,1,1
NTSA/RSN-0394,Mwiki PSV Society,,MWIKI PSV SACCO SOCIETY LIMITED,13,13
NTSA/RSN-0397,Mwirona,,MWIRONA SACCO LTD,3,3
NTSA/RSN-0399,Naboka,,NABOKA TRAVELLERS SACCO,5,5
NTSA/RSN-0401,Nagiru 145,145,NAGIRU 145 SACCO,5,5
NTSA/RSN-01798,Nailepu,,Nailepu Travellers Sacco,5,5
NTSA/RSN-0409,Nakam Society,,NAKAM SACCO SOCIETY LIMITED,7,7
NTSA/RSN-0410,Nakamata,,NAKAMATA SAVINGS AND CREDIT COOPERATIVE SOCIETY LTD,14,14
NTSA/RSN-0412,Nakaski Transort Savings Credit,,NAKASKI TRANSORT SAVINGS CREDIT SACCO LTD,8,8
NTSA/RSN-0413,Nakathi,,NAKATHI TRAVELLERS SACCO LIMITED,12,12
NTSA/RSN-0414,Nakili,,NAKILI SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,9,9
NTSA/RSN-0782,Nakinduka Matatu,,NAKINDUKA MATATU SAVINGS AND CREDIT COOPERATIVE SOCIETY LIMITED,2,2
NTSA/RSN-0423,Nakwe Society,,NAKWE TRAVELLERS SACCO SOCIETY LTD,4,4
NTSA/RSN-0435,Nangkis Matatu,,NANGKIS MATATU SACCO,15,15
NTSA/RSN-0442,Nawaku,,NAWAKU SACCO,8,8
NTSA/RSN-01896,Nawaku,,NAWAKU TRAVELLERS LIMITED,3,3
NTSA/RSN-0443,Nawasuku,,NAWASUKU SACCO,6,6
NTSA/RSN-0444,Nazigi,,NAZIGI SACCO LIMITED,19,19
NTSA/RSN-0445,Neema Agency,,NEEMA TRAVELLERS AGENCY LIMITED,17,17
NTSA/RSN-0448,NEO Kenya Mpya Commuters,,NEO KENYA MPYA COMMUTERS LIMITED,9,9
NTSA/RSN-0455,Ngokana,,NGOKANA SAVINGS AND CREDIT COOPERATIVE SOCIETY,4,4
NTSA/RSN-0456,Ngong,,NGONG TRAVELLERS SACCO,10,10
NTSA/RSN-0457,Ngumo-line,,NGUMO-LINE SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,6,6
NTSA/RSN-1112,Nicco Movers,,NICCO MOVERS LIMITED,6,7
NTSA/RSN-0464,Nkikan Society,,NKIKAN SACCO SOCIETY LIMITED,8,8
NTSA/RSN-0495,Obamana,,OBAMANA TRAVELLERS SACCO,6,6
NTSA/RSN-0499,Ongata Line,,ONGATA LINE TRANSPORTERS LIMITED,3,3
