route,corridor,from_terminus,to_terminus,stages,already_done,known_terminals,known_saccos,researched_terminal,researched_saccos,research_confidence,YOUR_TERMINAL,YOUR_SACCOS
3560_2,kangundo_road,Umoja Stage,Umoja 2 Terminus,15,,,,,,,,
100,kiambu_road,Githunguri Terminal,Kiambu Bus Terminus,28,,,,Fig Tree | Odeon,"Lopha, Githiga, Killeton Commuters Services Savings AND Credit Cooperative, MNK Society",high,,
120,kiambu_road,Githunguri Terminal,Githunguri Terminal,33,,,,,"Tikagi, Likambu Matatu, Lopha, Nakinduka Matatu",high,,
121,kiambu_road,Githunguri Terminal,Ndumberi,26,,,,,"Likambu Matatu, Lopha, Nakinduka Matatu",medium,,
100A,kiambu_road,Ngara Bus Terminals,Kiambu Hospital,24,,,,Fig Tree | Koja | Odeon,"Lopha, Bybuss Trans, Githiga, MNK Society",high,,
15,langata_road,Bus Station,Terminal,15,,,,Bus Station | Commercial | Kencom | Knh | Odeon | Otc,"Rasasi, Risen Company, Tawala Shuttle",medium,,
16,langata_road,Bus Station,Highrise,7,,,,Bus Station,"KBS, Rasasi",medium,,
125,langata_road,Railways,Kware,34,,,,Bus Station | Commercial | Gikomba | Kencom | Knh | Muthurwa | Odeon | Otc | Railways,"Orokise, Oromats Society, Serian, Snowball Society",high,,
126,langata_road,Railways,Kiserian,47,,,,Bus Station | Commercial | Gikomba | Kencom | Knh | Koja | Muthurwa | Odeon | Otc | Railways,"Orokise, Oromats Society, Rongao Saving AND Credit, Serian",high,,
14A,langata_road,Bus Station,Strathmore/Siwaka,12,,,,Bus Station,West Madaraka Route 14 Cooperative,medium,,
14B,langata_road,Bus Station,T-Mall,14,,,,Bus Station,West Madaraka Route 14 Cooperative,medium,,
34L,langata_road,Kenyatta National Hospital,St.Marys Hospital,22,,,,Bus Station | Commercial | Kencom | Knh | Odeon | Otc,"St. Marys Transport Society, Lucky Transporters Company, Rasasi, Lothian Transporters",high,,
126RK,langata_road,Kware,Kiserian Terminus,14,,,,,Wanjo Patrames Travel Company,medium,,
110,mombasa_road,Easy Coach/Uchumi,Kitengela,37,,,,Bus Station | Commercial | Fig Tree | Gikomba | Kencom | Knh | Muthurwa | Odeon | Otc | Railways,"Nangkis Matatu, Risen Company, Embassava, MNK Society",high,,
12C,mombasa_road,Bus Station,Container/New Apostolic Church,12,,,,Fig Tree,Libera Impex,medium,,
12D,mombasa_road,Bus Station,Highway Estate,17,,,,Bus Station | Fig Tree | Kencom | Knh,"City Star Shuttle, KBS, Libera Impex",high,,
