pto_no,sacco,permit_id,route_hints,is_intercity,route_text,pto_name_raw
NTSA/RSN-0023,Aldana,ADR-BQ9SQJ9,,False,"dandora, juja road,kariokor, gikomba",ALDANA TRAVELLERS SACCO
NTSA/RSN-7779,Arbab Ventures,NTR-00201905131607200,,True,"South c, iindustrial arealikoni rdjogoo rdeastleighoutering rd mombasa rd, machakos",ARBAB VENTURES LIMITED
NTSA/RSN-7779,Arbab Ventures,ADR-JY7SLOJ,,True,"South c, South bLikoni rdindustrial areaeastleighjogoo rdoutering rddonholmfedha, machakos",ARBAB VENTURES LIMITED
NTSA/RSN-7779,Arbab Ventures,ADR-POKSRLV,,True,"Machakos, SyokimauImara daimaSouth bSouth cNgumoLikoni rdIndustrial areaEastleighGikombaBusstationJogoo rdOutering rdDonholm Fedha juja rd thika rd kangundo rdutawala westlands parklands KNH nairobi west, langata",ARBAB VENTURES LIMITED
NTSA/RSN-7779,Arbab Ventures,ADR-VYAS9K2,,True,"machakos, syokimau,imara daima,south b,south c,ngumo,likoni rd,industrial area,eastleigh,gikomba,busstation,jogoo rd,outering rd,donholm, fedha",ARBAB VENTURES LIMITED
NTSA/RSN-7779,Arbab Ventures,ADR-Q5LCMKD,,True,"machakos, syokimau,imara daima,south b,south c,ngumo,likoni rd,industrial area,eastleigh,gikomba,busstation,jogoo rd,donholm, fedha",ARBAB VENTURES LIMITED
NTSA/RSN-0030,Baba Dogo 25,NTR-00201910081316170,25,False,"odeon, muranga rd terminus,thika rd,alsops,baba dogo,outering rd,caltex, donholm",BABA DOGO 25 TRAVELLERS SACCO
NTSA/RSN-0030,Baba Dogo 25,ADR-BQ9S3MQ,25,False,"Odeon, Muranga rd terminus(via forest rd)thika rdalsopsbaba dogo outering rd caltex juja rd kariokor, donholm",BABA DOGO 25 TRAVELLERS SACCO
NTSA/RSN-0030,Baba Dogo 25,ADR-REOSLYL,25,False,"Odeon, Muranga rd terminus(via forest rd) thika rdalsops roysambu lucky summer baba dogo outering rd caltex kangundo rd ruai junction utawala city cabanas donholm juja rd, kariokor",BABA DOGO 25 TRAVELLERS SACCO
NTSA/RSN-0030,Baba Dogo 25,ADR-MDMSAEM,25,False,"odeon, thika road, babadogo",BABA DOGO 25 TRAVELLERS SACCO
NTSA/RSN-0030,Baba Dogo 25,ADR-YM3SEJ6,25,False,"odeon, babadogo, thika road",BABA DOGO 25 TRAVELLERS SACCO
NTSA/RSN-0032,Bakaki 101,NTR-00201911291135300,101,False,"Kiambu, Bypass Ruaka Banana Ndenderu Wangige Kikuyu Rusingiti Kamangu Thigio Mutarakwa Limuru, Tigoni",BAKAKI 101 TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED
NTSA/RSN-0032,Bakaki 101,ADR-2DVSRWK,101,False,"Kiambu, BananaRuakaNdenderuWangigeKikuyuRusingitiKamanguThigioMutarakwaLimuru, Tigoni",BAKAKI 101 TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED
NTSA/RSN-0032,Bakaki 101,ADR-K9BF6JM,101,False,"kiambu, banana, limuru",BAKAKI 101 TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED
NTSA/RSN-0037,Banana Hill Matatu,NTR-00202107191137140,,False,"Banana, Kiambu Nairobi thika rd ruiru thika, Soko mjinga via limuru",BANANA HILL MATATU SACCO LTD
NTSA/RSN-0037,Banana Hill Matatu,NTR-00202211011757100,,False,"Thika, Ruiru Kiambu, Olkalou via Banana",BANANA HILL MATATU SACCO LTD
NTSA/RSN-0037,Banana Hill Matatu,ADR-7WRS96P,,False,"banana, kiambu, nairobi, thika road, ruiru, thika",BANANA HILL MATATU SACCO LTD
NTSA/RSN-0037,Banana Hill Matatu,ADR-BQ9SQ6V,,False,"banana, thika,commercial, kiambu",BANANA HILL MATATU SACCO LTD
NTSA/RSN-0037,Banana Hill Matatu,ADR-REOSZKQ,,False,"banana, commercial, kiambu, thika",BANANA HILL MATATU SACCO LTD
NTSA/RSN-0039,Benjo( K),NTR-00833,,True,"Embu, Kitui, Mwingi and Back",BENJO( K) LTD
NTSA/RSN-0039,Benjo( K),NTR-001425,,True,"Busstation, jogoo rd,Muthurwa,Gikomba,Kariokor,Juja Rd,Outering Rd,Allsops,Kariobangi Roundabout,kangundo rd,ruai,joska,malaa,tala,Thika,kiskioni,donyosabuku,kilimambogo, Nyeri and Back",BENJO( K) LTD
NTSA/RSN-0039,Benjo( K),NTR-00741,,True,"Bus Station, Jogoo rd Muthurwa Gikomba Kariokor Juja Rd OuteringRd Allsops Kariobangi dandora Moslem machakos mlolongo mombasa rd Cabanas EasternBypass Utawala Ruiru Roundabout kangundo rd ruai joska malaa tala Thika Makongeni kiskioni donyosabuk kilimambogo, Nyeri",BENJO( K) LTD
NTSA/RSN-0039,Benjo( K),ADR-537HOWE,,True,"nairobi, matuu, kitui, mwingi",BENJO( K) LTD
NTSA/RSN-0039,Benjo( K),ADR-A5AC78Q,,True,"nairobi, mwingi,thika,matuu, kitui",BENJO( K) LTD
NTSA/RSN-0050,Buruburu 58,ADR-K9BFLV9,58,False,"Commercial, muthurwaJogoo road Lusaka Likoni rd JerichoBuruburu Rabai rd Outering rdAlsops Kangundo rd Eastern bypass, Malaa",BURUBURU 58 TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED
NTSA/RSN-0050,Buruburu 58,ADR-7WRSVZ6,58,False,"Commercial, muthurwaJogoo road Lusaka Enterprise rd Likoni rd Jericho Buruburu Rabai rd Outering rd Alsops Kangundo rd Eastern bypass, Malaa",BURUBURU 58 TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED
NTSA/RSN-0050,Buruburu 58,ADR-BQ9S53D,58,False,"buruburu, jogoo rd accra, commercial",BURUBURU 58 TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED
NTSA/RSN-0050,Buruburu 58,ADR-REOSRLV,58,False,"buruburu, jogoo road, commercial",BURUBURU 58 TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED
NTSA/RSN-0050,Buruburu 58,ADR-MDMSQA8,58,False,"commercial, buruburu,muthurwa, jogoo road",BURUBURU 58 TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED
NTSA/RSN-0050,Buruburu 58,ADR-YM3S6EM,58,False,"buruburu, commercial, jogoo road",BURUBURU 58 TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED
NTSA/RSN-9870,Bybuss Trans,NTR-00202007061248330,,False,"Khoja via Ngara Rd, WestlandsWangige via Lower Kabete RdNyathunaNgechaKabukuLimuru Kikuyu Kiambu Ruiru, Thika(Makongeni)",BYBUSS TRANS LIMITED
NTSA/RSN-9870,Bybuss Trans,NTR-00202009081636350,,False,"Kiserian, Ngong Dagoretti Wangige Khoja Thika Gatuanyaga Ruiru Kiambu, Limuru",BYBUSS TRANS LIMITED
NTSA/RSN-9870,Bybuss Trans,NTR-00202102051433520,,False,"Khoja, Ngara Westlands kangemi wangige nyathuna gachie ngecha kabuku ruaka Kikuyu limuru kiambu ruiru Thika(makongeni), muranga",BYBUSS TRANS LIMITED
NTSA/RSN-9870,Bybuss Trans,NTR-00202102051436280,,False,"Thika (makongeni), Kiambu ruaka gachie wangige nyathuna ngecha kabuku limuru kikuyu kangemi kawangware dagoretti corner& market karen bomas ngong, Kiserian",BYBUSS TRANS LIMITED
