stage_id,name,lat,lon,corridor,routes,aliases,nearby_osm_name
0400AP1,Avenue Park 1,-1.313665,36.893571,,33C 34J 33DC 33DP 33TP 33FED 33GTB,Fedha | Fedha Junction,Fedha Matatu Stage
0400AP2,Avenue Park 2,-1.311383,36.892134,,33C 34J 33DC 33DP 33TP 33FED 33GTB,Meatland,Tassia Matatu Stage
0510AVT,Aviation,-1.319394,36.907426,,33H 33J 33UTW,,Aviation
0713AYN,Ayani,-1.307925,36.772739,,32A,,Kibera Ayany Bus Stop
0200BDJ,Baba Dogo Junction,-1.247161,36.874858,thika_road,25 42 25A 2030,Corner,adapt alight
0210BBD,Baba Ndogo,-1.244305,36.887506,thika_road,25 25A,Baba Ndogo Primary | Baba Ndogo Terminal | Terminal,Kemrif
0200BBC,Baba Ndogo Catho,-1.244056,36.884075,thika_road,25 25A,Babandogo Catho,adapt alight
0700BTG,Back To Glory School/Sainty,-1.294784,36.738820,,4W,Sainty | Satellite Stage,Riruta
0400BHC,Bahati Clinic,-1.290332,36.858991,,23KS,Morisson Primary School | Ngorofani Pcea Bahati,Church army
0401BPS,Bahati Primary School Kag Bahati,-1.288722,36.862330,,26S 23KS,Bahati Stage | Kag Bahati | Kimathi/Section 3 Junction,
0200BLN,Balkan Sec School,-1.212420,36.833920,kiambu_road,100 120 121 100A,,
0501BAL,Balozi,-1.318073,36.846677,,11 11_2,JCC Church | Our Lady Secondary,Dreamline Bus services
0500BLZ,Balozi,-1.319938,36.848003,,11_2,,Dreamline Bus services
0113BAA,Banana Terminus,-1.173830,36.758605,,106 116,Kobil/Banana,Banana Terminus
0501BDS,Banda School,-1.365629,36.766651,,125 126,,
0501BAN,Bandari,-1.304526,36.832493,,11 11_2,,
0500BPS,Baptist,-1.395690,36.735542,,126 126RK,Laiser Hill,
0501BRK,Baracks,-1.311577,36.925461,,33H 33J 33UTW,,75
0501BRE,Baraka Estate,-1.298156,36.912689,,33B,,
0500BAR,Barclays,-1.397279,36.759171,,125 126,Tyme Arcade/Ongata Mall,
0403NYO,Baricho Road Terminus,-1.304110,36.827750,,405,,
0511BRK,Barracks,-1.331919,36.783540,,15 24 125 126 24C 34L,Lang'Ata Barracks,
0510BRK,Barracks,-1.313313,36.923192,,33B 33H 33J 33FED 33UTW,Nyayo Barracks | Roundabout Jeshi,75
0501BAR,Barracks,-1.329545,36.782486,,15 34L,Maboko Road,
0201BRA,Barua,-1.193330,36.839910,kiambu_road,100 120 121 100A,,
0201BAS,Base,-1.206747,36.894434,thika_road,44G 44K 44Z,,Canopy stage
0211BAS,Base,-1.203041,36.896759,thika_road,44G 44K 44Z,Catholic Church,Canopy-Town Stage
0301BAS,Base,-1.261639,36.871653,,14 28 41 18C 32D 46B 46H 16/62 17Aky,Flats,Kwa Chief Stage
0300BAS,Base,-1.262131,36.867370,,14 28 41 18C 32D 46B 46H 16/62 17Aky,Kwa Chief,Kwa Chief Stage
0410BAT,Bat,-1.305330,36.856105,,70/71,Kie,
0500GCT,Beacons Inn/Giraffe Centre,-1.366791,36.743641,,24 24C,Hardy Shopping Centre/Beacons In,
0401BEN,Bee Centre,-1.282750,36.902849,,20 17A 1960 17Aky 1961K 19Cdc 19Cjk 1961Kd,Bee Centre/Roundabt,Masimba
0111BEK,Belgian Embassy/Karura,-1.247010,36.815600,,106 107 116 11F 114R,,Belgian Embassy/Karura
0810BEL,Bell,-1.167929,36.641045,,115 135 114W,Ha Joram,
0511BLV,Belleview,-1.319354,36.838339,,110 12C 12D 33B 33TP 33FED 33IMR 33MKR 33UTW 110ATH,Oilibya/Nema,Mash Bus services
