route,corridor,from_terminus,to_terminus,num_stages,return_towards,stages_in_order,surveyed_description,source_route_id
69,,Muthurwa,Gm Mwisho,18,Muthurwa,Muthurwa > City Stadium/Lusaka Road Junctn > Dt Dobie > Prison > Daresalam > Total > Homabay > Equity > Busia > Kampala > Kampala > Tetrapark > Shell > Road A > Chloride Exide > Falcon > Gm > Gm Mwisho,Muthurwa-Hillocks-GM,40102040511
6E,,Church Army,Joster,7,Church Army,Church Army > Rikana > Jana Villa > Biafra > Biafra > Suncity > Joster,Church Army-Biafra-Joster,40200000601
7C,,Kencom,Kenyatta Hospital Stage,6,Kencom,Kencom > Gpo > Serena > Community > Old Mutual > Kenyatta Hospital Stage,Kencom-Community-Equity Center-Kenyatta National Hospital,60101007C11
102,,Railways,Kikuyu,40,Railways,Railways > Nairobi Area Police Traffic Headquarters > Kenyatta National Hospital > Memosa/Coptic > Uchumi Hyper Ngong Road/ Ngong Hills Hotel > Nakumatt Prestige > Motherland > Adams Arcade > Posta > Posta Stage > Impala > Jamuhuri/Kibera Station Road > Nakumatt Junction > Dagoretti Corner Stage > Deliverance Church Riruta > Kinyanjui > Sugoini > Mlangosoko > BP > Precious Blood Girls' School > Krep/Equity > Kwa Ng'Ang'A > Beth Mugo High School Kaberia > Mithonge > Waithaka > Mugiriti > Gachui > Ruthimitu Secondary School > Shell/Dagoretti Police Station > Dagoretti Rehabilitation Centre > Denoil > Kirunguro > Uon Kikuyu Campus > Uon Kikuyu Campus Stage > Alliance High School > Alliance High School Stage > Gardens > Full Gospel > Green Gardens School > Kikuyu,Railways-NgongRoad-Kawangware-Kikuyu,70600010211
103,,Dagoretti Corner Stage,Wangige Stage,45,Dagoretti Corner,Dagoretti Corner Stage > Deliverance Church Riruta > Kinyanjui > Sugoini > Mlangosoko > BP > Precious Blood Girls' School > Krep/Equity > Naivasha/Naivasha Road Flat > St.John College Riruta > Ndwaru > Riverside Flats > Gachangi/Darajani/Baptist Church > Gathondeki > Summer-Rock > ILRI > Uthiru > Kwa Mchanga/Total > Uthiru Pentecostal > Waiyaki Way/Uthiru Junction > Deliverance Church/Petrol Station > Shell/Cooperation > 87/Gachecheni > 87/Total > Kinoo Girls High School > Jacmil Supermarket/Kinoo Stage > Muthiga Academy > Muthiga/Kikopey > Dominion Church > Regen Filling Station > Rungiri > Kampala Way Filling Station > Kwa Ngwacii Junction > Gitaru Junction > Kwa Njeru/Gitaru/Pank View > Kwa Njeru Stage > Magu > Matta > Muthure > Ack St. Phillips > Kanyariri > Acacia Junction/King'Eero > Pefa King'Eero > Total Wangige > Wangige Stage,Dagoretti Market-Uthiru-Kinoo-Wangige,70000010311
105,,Kikuyu Terminus,Odeon Terminus,37,Odeon,Kikuyu Terminus > Pine Crib Apartments > Kikuyu Country Resort > Gitaru/Vantage School > Kampala > Rungiri > Regen > Muthiga > Muthiga > Kinoo > Kinoo > 87 > Wanjimi > Cooperation > Uthiru > Uthiru > Mariguini > Kabete Pp > Thing'O > Mountain > Kangemi > Heshima Supermarket > Cck > Nairobi School > Kari/James Gichuru > Kabete Barracks > Westlands Dc > Church Road/Westlands Primary School > Lion'S Place > St. Marks Church > Gama Pinto Road > Westlands Stage > Eden Square > Chiromo > Museum > Main Campus > Odeon Terminus,Odeon-Westlands-Kangemi-Kinoo-Regen-Kikuyu,80500010511
106,,Koja/Nation Centre,Banana Terminus,42,Koja,Koja/Nation Centre > Ngara Road > Jamuhuri High School > Stima Plaza > Stima Plaza Stage > Wambugu Road > Aga Khan Academy > Oilibya > City Park > 6Th Parklands Avenue/Regal House/Kobil > Belgian Embassy/Karura > Un > Redhill Road > Village Market > Karura/Runda > Runda Estate Entrance > Rosslyn Road > Rosslyn Road/Karura Community Chapel > Shakers/Rosslyn Gate > Delta Petrol Station/ Brook Apartmens > Ruaka Junction > Church Of Acts/Velvet Lounge > Kiambea > Redeemed/Pefa Muchatha > Guango > Kwa Jeki > Kwa Kanisa Ack/National Oil > Muchatha Shopping Centre > Life Sanctuary Church/Muchatha Shopping Centre > Mary Immaculate Catholic Church/Muchatha Shopping Centre > Muchatha Dispensary/Kwa Shule/Yamongo Drive > Kivuti Stage > Sacred Heart > Kwa Njoki Kamili > Kwa Njoki/Ack Thimbigwa > Victory > Zakau > Likoni > Mombasa > Mkulima Supermarket/Banana > Kobil/Banana > Banana Terminus,Odeon-UN-Ruaka-Banana,10300106011
107,,Odeon,Karura Mwisho,41,Odeon,Odeon > Ngara Road > Jamuhuri High School > Stima Plaza > Stima Plaza Stage > Wambugu Road > Aga Khan Academy > Oilibya > City Park > 6Th Parklands Avenue/Regal House/Kobil > Belgian Embassy/Karura > Un > Redhill Road > Village Market > Karura/Runda > Runda Estate Entrance > Rosslyn Road > Rosslyn Road/Karura Community Chapel > Shakers/Rosslyn Gate > Delta Petrol Station/ Brook Apartmens > Ruaka Stage > Ruaka Ack Church > Ruaka Dc > Ruaka Catholic Church > Slaughter > Pm Flats/ Runda View > Pm Flats/ Runda View 2 > Mirai Court/Mifereji > Komototho > Gacharage Junction > Rumenya > Ambassadors Stage > Ambassadors Entrance > Christco Church > Furaha/ Kag Ndenderu > Ndenderu Stage > Redeemed Ndenderu > Ndenderu Junction > Ndenderu Sda > St.Annes > Karura Mwisho,Odeon-UN-Ruaka-Ndenderu,10400010711
108,,Poland Embassy,Gasolina/Gichagi Mwisho,14,UNEP,Poland Embassy > Muthaiga Junction > Nyari > Nyari Gate 2 > Nyari Police > Nyari Gate 3 > Roslyn Heights > Sda Church > Kamukabi > Kona > Sub Chief > Power > Jakai > Gasolina/Gichagi Mwisho,UN-New Muthaiga-Gachie-Gichagi,10200010811
110,,Easy Coach/Uchumi,Kitengela,37,Railways Uchumi,Easy Coach/Uchumi > Nyayo > The Office > Capital Centre > Belleview > Park Side Towers > Panari > Standard Group > Sameer > GM > Imara Daima > Cabanas > Tuffsteel > Airport Junction > Nice N Lovely > Kapa > Mabati > Nation > Nation > Syokimau > Allpack > Allpack > Tops/Stage Ya Juu > Mlolongo > Petma/Mlolongo Chini > Mjengo > Sabaki > Toll > Toll > Shalom > Shell/Kenol > Mlangoni > Vanillas > Village > EPZ > Tosha > Kitengela,Railways-Mombasa Road-Mlolongo-Kitengela,50800011011
111,,Railways,Ngong Bus Terminus,58,Railways,Railways > Nairobi Area Police Traffic Headquarters > Kenyatta National Hospital > Memosa/Coptic > Uchumi Hyper Ngong Road/ Ngong Hills Hotel > Nakumatt Prestige > Motherland > Adams Arcade > Posta > Posta Stage > Impala > Jamuhuri/Kibera Station Road > Nakumatt Junction > Corner/Meteorological Department > Tankard/Shallow > Showground > Showground/Fastenergy > Kenol > Pathway > Racecourse > Lenana > Lenana > Miotoni > Christophers > Kwa Farasi > Karen > Windy Ridge/Group Africa > Westwood/Defense College > Mbagathi/Kephis > Kcb Community > Shade Hotel > Shade Hotel > Jogoo > Jogoo/Kbc > Maasai High School > Hekima > Umoja > Bumps/Pcea > Bulbul > Bulbul Kanisani(Catholic Church) > Elsi Place > Kwa Muchina > Naivas/ Vet > Kenvic > Nyali House > Karmu House > Universal > Garage > Zambia > Carwash > Perminus > Venessa > Sportman > Coutry Club > Kenol > Pcea Endorro Emuny > Kwa Maji > Ngong Bus Terminus,Railways-Ngong Road-Karen-Ngong,70400011111
