route_id,direction,sequence,stage_id
50204001511,out,14,0513LNT
50204001511,in,0,0510OTD
50204001511,in,1,0500LNP
50204001511,in,2,0500PCA
50204001511,in,3,0500MBK
50204001511,in,4,0500SPM
50204001511,in,5,0500MUG
50204001511,in,6,0500TAC
50204001511,in,7,0510CIV
50204001511,in,8,0500SLE
50204001511,in,9,0500MAS
50204001511,in,10,0500PHG
50204001511,in,11,0500EQT
50204001511,in,12,0500OIL
50204001511,in,13,0500LHP
50204001511,in,14,0510HQS
50204001511,in,15,0510KAS
50204001511,in,16,0510CAN
50204001511,in,17,0500DMS
50204001511,in,18,0510AMR
50204001511,in,19,0510LGP
50204001511,in,20,0510WIL
50204001511,in,21,0510TML
50204001511,in,22,0510MFL
50204001511,in,23,0510NYS
50204001511,in,24,0510KAB
50204001511,in,25,0510AGP
50204001511,in,26,0512BSL
50203001611,out,0,0512BST
50203001611,out,1,0511NYS
50203001611,out,2,0511MAD
50203001611,out,3,0501TML
50203001611,out,4,0501BLU
50203001611,out,5,0501APV
50203001611,out,6,0503HRS
50203001611,in,0,0500HIG
50203001611,in,1,0500MEM
50203001611,in,2,0510KEF
50203001611,in,3,0611HGH
50203001611,in,4,0611STH
50203001611,in,5,0510MFL
50203001611,in,6,0510NYS
50203001611,in,7,0500NYY
50203001611,in,8,0510KAB
50203001611,in,9,0510AGP
50203001611,in,10,0512BST
40702002001,out,0,0402MLY
40702002001,out,1,0401KSR
40702002001,out,2,0411NSE
40702002001,out,3,0401BEN
40702002001,out,4,0401MSB
40702002001,out,5,0411MAS
40702002001,out,6,0401JUN
40702002001,out,7,0411JUN
40702002001,out,8,0401POS
40702002001,out,9,0401SWT
40702002001,out,10,0411KOI
40702002001,out,11,0401NYD
40702002001,out,12,0401PMR
40702002001,out,13,0411RST
40702002001,out,14,0401MRA
40702002001,out,15,0401SBA
40702002001,out,16,0411KCF
40702002001,out,17,0401GKC
40702002001,out,18,0401DSL
40702002001,out,19,0401BSR
40702002001,out,20,0401KON
40702002001,out,21,0403KY1
40702002001,out,22,0401KYJ
40702002001,out,23,0401TWS
40702002001,out,24,0411NJR
40702002001,out,25,0403MKI
40702002001,in,0,0403MKI
40702002001,in,1,0410NJR
40702002001,in,2,0400KYJ
40702002001,in,3,0402KY1
40702002001,in,4,0400KON
40702002001,in,5,0403DSL
40702002001,in,6,0410KCF
40702002001,in,7,0400SBA
40702002001,in,8,0400MRA
40702002001,in,9,0400RST
40702002001,in,10,0410RST
40702002001,in,11,0400PMR
40702002001,in,12,0400NYD
40702002001,in,13,0400KOI
40702002001,in,14,0400SWT
40702002001,in,15,0400PST
40702002001,in,16,0400MSB
40702002001,in,17,0410MSB
40702002001,in,18,0400BER
40702002001,in,19,0410NSE
40702002001,in,20,0402MLY
50206002411,in,0,0512ADU
50206002411,in,1,0501KPU
50206002411,in,2,0511MAD
50206002411,in,3,0501TML
50206002411,in,4,0501WIL
50206002411,in,5,0501AMR
50206002411,in,6,0501DME
