route,saccos
33TP,MSL (Mwiki Sacco)|Fig Prestige Management Company Limited|Mwiki Psv Sacco Society Limited
33UTW,Expreso Limited|Forward Travellers Sacco Ltd|Gikaki Sacco Society Limited
34B,Baba Dogo 25 Travellers Sacco|Expreso Limited|Ngong Travellers Sacco
34J,Libera Impex Limited|Nkikan Sacco Society Limited|Oromats Sacco Society Ltd
34L,Rasasi Travellers Limited|St. Marys Transport Sacco Society|City Star Shuttle Limited
35/60,Umoinner Sacco Ltd|Umoja Innercore Tena Matatu Owners Savings And Credit Co-Operative Society Ltd
3560_2,Super Metro|Embassava|Nicco Movers
36,Dabumato Commuter Service Savings & Credit Co-Operative Society Ltd|Dandora Usafiri Travellers Sacco|Eastlands Eagles Limited
3738,Bakaki 101 Travellers Savings And Credit Co-Operative Society Limited|Expreso Limited|Five Friends Investment Company Limited
38/39,Pinpoint Solution (K) Ltd|Forward Travellers Sacco Ltd|Kani Transport Savings And Credit Co-Operative Society Limited
3N,Aldana Travellers Sacco|Arbab Ventures Limited|Baba Dogo 25 Travellers Sacco
3U,2Kw Savings And Credit Co-Operative Society Ltd|Super Metro Limited
405,Kenya Bus Service Management Limited|St. Marys Transport Sacco Society
41,Dandora Usafiri Travellers Sacco|Ecosa Travellers Sacco
42,Aldana Travellers Sacco|Dandora Usafiri Travellers Sacco|Ecosa Travellers Sacco
43,Forward Travellers|Eastleigh Commuters|County Link Savings And Credit Co-Operative Society Ltd
44G,KBS|Nicco Movers|Aldana Travellers Sacco
44K,Indima (Nje) Sacco|Kenya Bus Service Management Limited
44Z,Aldana Travellers Sacco|Ecosa Travellers Sacco|Forward Travellers Sacco Ltd
45G,Forward Travellers Sacco Ltd|Kariobangi Matatu Owners Savings And Credit Co-Operative Society Limited|Kayo-Line Group Company Limited
45K,KBS|Aldana Travellers Sacco|Ecosa Travellers Sacco
45P,Unified International Limited
46B,Huruma Mini-Bus Sacco Ltd|Benjo( K) Ltd|Eastern Bypass Savings And Credit Co-Operative Society Limited
46H,Huruma Mini-Bus Sacco Ltd|Benjo( K) Ltd|Eastern Bypass Savings And Credit Co-Operative Society Limited
46K,Eastern Bypass Savings And Credit Co-Operative Society Limited|Fastrack United And Credit Cooperative Society|Five Friends Investment Company Limited
46Y,Killeton Commuters Services Savings And Credit Cooperative Ltd|Kiragi Travellers Savings And Credit Co-Operative Society Limited|Lothian Transporters
48A,Digital Luxury Travellers Limited
48B,8B Savings And Credit Co-Operative Society Ltd|Baba Dogo 25 Travellers Sacco|City Star Shuttle Limited
48C,8B Savings And Credit Co-Operative Society Ltd|Baba Dogo 25 Travellers Sacco|City Star Shuttle Limited
48K,Super Metro|Embassava|Benjo( K) Ltd
48O,Baba Dogo 25 Travellers Sacco|Digital Luxury Travellers Limited|Home Sacco Limited
49,Forward Travellers|Eastleigh Commuters|Nicco Movers
4W,Jupiterline Investments Capital Limited|Kibera Bureti Sacco|Kibera Matatu Owners Cooperative Savings And Credit Society Limited
5,2Kw Savings And Credit Co-Operative Society Ltd|Chania Travellers Sacco|Eastern Bypass Traverlers Investment Co. Limited
53,Super Metro|Meruit Logistics Limited|Super Metro Limited
56,Kiragi Travellers Savings And Credit Co-Operative Society Limited|Fastrack United And Credit Cooperative Society|Five Friends Investment Company Limited
58,Dabumato Commuter Service Savings & Credit Co-Operative Society Ltd|Dandora Usafiri Travellers Sacco|Eastlands Eagles Limited
6,Naboka Travellers Sacco|Aldana Travellers Sacco|Bakaki 101 Travellers Savings And Credit Co-Operative Society Limited
69,Embassava|Indima (Nje) Sacco|Outreach Travel
70/71,Embassava|Eastern Kubamba Limited|Latema 22 Travellers Sacco
7C,Lothian Transporters|Unified International Limited
8,Kibera Bureti Sacco
