stage_id,name,lat,lon,kind
osm:10832126029,Kwa Shule/Seth Home Of Love Children's Home/Muchatha Dispensary,-1.189676,36.773216,platform
osm:12075947829,Kwa Ziki Stairs,-1.232654,36.712237,bus_stop
osm:6063333834,Kwambira,-1.108750,36.632675,platform
osm:5552492025,Latema Sacco;Nawas Hotel,-1.281991,36.825262,bus_station
osm:8050437487,Legomaria,-1.279673,36.756972,bus_station
osm:5356726933,Lenana,-1.308095,36.733171,platform
osm:1019412575,Lenana Halt,-1.302650,36.730110,station
osm:10844057372,Life Sanctuary Church/Muchatha Shopping Centre,-1.191450,36.775071,platform
osm:10832126027,Life Sanctuary/Muchatha,-1.191495,36.775223,platform
osm:10832126028,Likoni,-1.179145,36.760945,platform
osm:10844057373,Likoni,-1.178733,36.760654,platform
osm:1627178986,Limuru Train Station,-1.115088,36.642791,station
osm:10844057334,Little Servant,-1.186605,36.768223,platform
osm:12075947834,Liz Gate Apartments,-1.238265,36.723835,bus_stop
osm:1719355502,Lopha Travels,-1.282815,36.825000,bus_station
osm:5178217728,Lopha Travels,-1.282137,36.825429,bus_station
osm:5552396284,Lopha Travels,-1.281973,36.823679,bus_station
osm:12075947856,Loresho,-1.247454,36.778922,bus_stop
osm:6274284761,makongeni,-1.277407,37.025833,platform
osm:5552396283,Manchester Travellers,-1.282577,36.823946,bus_station
osm:10832126026,Mary Immaculate Catholic Church/Muchatha Shopping Centre,-1.190686,36.774242,platform
osm:4421833594,Mash Bus services,-1.319044,36.836591,bus_stop
osm:4740212721,Masimba,-1.278115,36.908061,bus_stop
osm:6218304916,Matasia,-1.390897,36.681809,bus_station
osm:2050452292,Matathia,-0.976563,36.620913,station
osm:7942847237,Matatu,-1.265510,36.857382,bus_stop
osm:8050437498,Matatu,-1.289265,36.752800,bus_station
osm:7942847249,Mathare Bus Stop,-1.268015,36.842933,platform
osm:7942847239,Mau Mau,-1.260080,36.864688,bus_stop
osm:2990724430,Maua,-1.059045,37.141522,bus_stop
osm:8050414668,Mayas,-1.286650,36.742211,bus_station
osm:8050414666,Mayas Stage,-1.285670,36.741201,bus_station
osm:7645366486,Maziwa,-1.193708,36.904786,bus_stop
osm:1417861360,Maziwa bus stop,-1.323014,36.885306,bus_stop
osm:7942847240,Mega Church,-1.265488,36.843983,platform
osm:7645366389,Membley bus stop,-1.159303,36.923053,platform
