sacco,permit_no,via_raw,via_points
BENJO( K) LTD,NTR-001425,"Busstation, jogoo rd,Muthurwa,Gikomba,Kariokor,Juja Rd,Outering Rd,Allsops,Kariobangi Roundabout,kangundo rd,ruai,joska,malaa,tala,Thika,kiskioni,donyosabuku,kilimambogo, Nyeri and Back",busstation|jogoo rd|muthurwa|gikomba|kariokor|juja rd|outering rd|allsops|kariobangi roundabout|kangundo rd|ruai|joska|malaa|tala|thika|kiskioni|donyosabuku|kilimambogo|nyeri and back
BENJO( K) LTD,NTR-00741,"Bus Station, Jogoo rd Muthurwa Gikomba Kariokor Juja Rd OuteringRd Allsops Kariobangi dandora Moslem machakos mlolongo mombasa rd Cabanas EasternBypass Utawala Ruiru Roundabout kangundo rd ruai joska malaa tala Thika Makongeni kiskioni donyosabuk kilimambogo, Nyeri",bus station|jogoo rd muthurwa gikomba kariokor juja rd outeringrd allsops kariobangi dandora moslem machakos mlolongo mombasa rd cabanas easternbypass utawala ruiru roundabout kangundo rd ruai joska malaa tala thika makongeni kiskioni donyosabuk kilimambogo|nyeri
BENJO( K) LTD,ADR-537HOWE,"nairobi, matuu, kitui, mwingi",nairobi|matuu|kitui|mwingi
BENJO( K) LTD,ADR-A5AC78Q,"nairobi, mwingi,thika,matuu, kitui",nairobi|mwingi|thika|matuu|kitui
BURUBURU 58 TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,ADR-K9BFLV9,"Commercial, muthurwaJogoo road Lusaka Likoni rd JerichoBuruburu Rabai rd Outering rdAlsops Kangundo rd Eastern bypass, Malaa",commercial|muthurwajogoo road lusaka likoni rd jerichoburuburu rabai rd outering rdalsops kangundo rd eastern bypass|malaa
BURUBURU 58 TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,ADR-7WRSVZ6,"Commercial, muthurwaJogoo road Lusaka Enterprise rd Likoni rd Jericho Buruburu Rabai rd Outering rd Alsops Kangundo rd Eastern bypass, Malaa",commercial|muthurwajogoo road lusaka enterprise rd likoni rd jericho buruburu rabai rd outering rd alsops kangundo rd eastern bypass|malaa
BURUBURU 58 TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,ADR-BQ9S53D,"buruburu, jogoo rd accra, commercial",buruburu|jogoo rd accra|commercial
BURUBURU 58 TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,ADR-REOSRLV,"buruburu, jogoo road, commercial",buruburu|jogoo road|commercial
BURUBURU 58 TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,ADR-MDMSQA8,"commercial, buruburu,muthurwa, jogoo road",commercial|buruburu|muthurwa|jogoo road
BURUBURU 58 TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,ADR-YM3S6EM,"buruburu, commercial, jogoo road",buruburu|commercial|jogoo road
BYBUSS TRANS LIMITED,NTR-00202007061248330,"Khoja via Ngara Rd, WestlandsWangige via Lower Kabete RdNyathunaNgechaKabukuLimuru Kikuyu Kiambu Ruiru, Thika(Makongeni)",khoja via ngara rd|westlandswangige via lower kabete rdnyathunangechakabukulimuru kikuyu kiambu ruiru|thika makongeni
BYBUSS TRANS LIMITED,NTR-00202009081636350,"Kiserian, Ngong Dagoretti Wangige Khoja Thika Gatuanyaga Ruiru Kiambu, Limuru .",kiserian|ngong dagoretti wangige khoja thika gatuanyaga ruiru kiambu|limuru
BYBUSS TRANS LIMITED,NTR-00202102051433520,"Khoja, Ngara Westlands kangemi wangige nyathuna gachie ngecha kabuku ruaka Kikuyu limuru kiambu ruiru Thika(makongeni), muranga",khoja|ngara westlands kangemi wangige nyathuna gachie ngecha kabuku ruaka kikuyu limuru kiambu ruiru thika makongeni|muranga
BYBUSS TRANS LIMITED,NTR-00202102051436280,"Thika (makongeni), Kiambu ruaka gachie wangige nyathuna ngecha kabuku limuru kikuyu kangemi kawangware dagoretti corner& market karen bomas ngong, Kiserian",thika makongeni|kiambu ruaka gachie wangige nyathuna ngecha kabuku limuru kikuyu kangemi kawangware dagoretti corner market karen bomas ngong|kiserian
BYBUSS TRANS LIMITED,ADR-BQ9SMJB,"Khoja via Ngara Rd, WestlandsWangige via Lower Kabete RdNyathunaNgechaKabuku, Limuru .",khoja via ngara rd|westlandswangige via lower kabete rdnyathunangechakabuku|limuru
BYBUSS TRANS LIMITED,ADR-REOSYWM,"Khoja, Ngara Westlands kangemi wangige nyathuna gachie ngecha kabuku ruaka Kikuyu limuru kiambu ruiru, Thika(makongeni)",khoja|ngara westlands kangemi wangige nyathuna gachie ngecha kabuku ruaka kikuyu limuru kiambu ruiru|thika makongeni
CBET SACCO,NTR-00202012111552070,"Gillhouse, Jogoo rd Buruburu Outering rd Kangundo rd, Koma bus park",gillhouse|jogoo rd buruburu outering rd kangundo rd|koma bus park
CBET SACCO,NTR-00202012111553240,"Gillhouse, Mombasa rd Athi river, Machakos",gillhouse|mombasa rd athi river|machakos
CBET SACCO,NTR-00202104141523000,"kyumbi, malili, konza city",kyumbi|malili|konza city
CBET SACCO,NTR-00202104141524480,"kenol, njumbi murarandaia githiga, kiria-ini",kenol|njumbi murarandaia githiga|kiria ini
CBET SACCO,NTR-0063,"Gillhouse, MuthurwaJogoo roadBuruburu civil servant outering rd komarock bus park mombasa rd athi river machakos kyumbi malili murarandia githiga njumbi konza city kenol kangundo rd, kiria-ini",gillhouse|muthurwajogoo roadburuburu civil servant outering rd komarock bus park mombasa rd athi river machakos kyumbi malili murarandia githiga njumbi konza city kenol kangundo rd|kiria ini
CBET SACCO,ADR-A5AC86D,"gillhouse, muthurwa,jogoo road,buruburu,civil servant,Outering rd,Komarock Bus Park,Mombasa rd,Athiriver,Machakos,Kyumbi,Malili,Murarandi,Githiga, Kiria-ini",gillhouse|muthurwa|jogoo road|buruburu|civil servant|outering rd|komarock bus park|mombasa rd|athiriver|machakos|kyumbi|malili|murarandi|githiga|kiria ini
CBET SACCO,ADR-9AKFR5P,"gillhouse, civilservant,muthurwa,jogoo road, buruburu",gillhouse|civilservant|muthurwa|jogoo road|buruburu
CBET SACCO,ADR-DB3TOWP,"gillhouse, muthurwa,jogoo road,buruburu, civilservant",gillhouse|muthurwa|jogoo road|buruburu|civilservant
CHANIA TRAVELLERS SACCO,NTR-0053,"nairobi, thika,matuu,kitui, mwingi",nairobi|thika|matuu|kitui|mwingi
CHANIA TRAVELLERS SACCO,NTR-00182,"nairobi, thika, nyeri",nairobi|thika|nyeri
CHANIA TRAVELLERS SACCO,NTR-00183,"nairobi, thika nyeri nyahururu, nakuru",nairobi|thika nyeri nyahururu|nakuru
CHANIA TRAVELLERS SACCO,NTR-00236,"nairobi, thika,nyeri,nyahururu, nakuru",nairobi|thika|nyeri|nyahururu|nakuru
CHANIA TRAVELLERS SACCO,NTR-00142,"nairobi, thika road,thika, nyeri",nairobi|thika road|thika|nyeri
CHANIA TRAVELLERS SACCO,NTR-00519,"nairobi, thika,matuu, mwingi",nairobi|thika|matuu|mwingi
CHANIA TRAVELLERS SACCO,NTR-00567,"Nairobi, Thika Gatura Olkalou Nyahururu Nakuru, Eldoret",nairobi|thika gatura olkalou nyahururu nakuru|eldoret
CHANIA TRAVELLERS SACCO,NTR-00917,"Nairobi, Thika Nyeri Nyahururu Nakuru, Eldoret",nairobi|thika nyeri nyahururu nakuru|eldoret
CHANIA TRAVELLERS SACCO,NTR-001007,"Nairobi, Ruiru Thika Odonyo Sabuk Matuu Kitui Mwingi Igikiro gatura Flyover Olkalou Nyahururu Nyeri Embu Meru Nakuru, Eldoret",nairobi|ruiru thika odonyo sabuk matuu kitui mwingi igikiro gatura flyover olkalou nyahururu nyeri embu meru nakuru|eldoret
CHANIA TRAVELLERS SACCO,NTR-001285,"Nairobi, Eastleigh Outering Rd Eastern Bypass Mombasa Rd Matuu Kitui Mwigi Oldonyo sabuk Thika Ruiru Igikiro Gatura Flyover Olkalou Nyahururu Nyeri Meru Nakuru, Eldoret",nairobi|eastleigh outering rd eastern bypass mombasa rd matuu kitui mwigi oldonyo sabuk thika ruiru igikiro gatura flyover olkalou nyahururu nyeri meru nakuru|eldoret
CHANIA TRAVELLERS SACCO,NTR-001145,"nairobi, thika, nyeri, meru",nairobi|thika|nyeri|meru
CHANIA TRAVELLERS SACCO,ADR-Q5LCLAM,"nairobi, thika, flyover, nakuru",nairobi|thika|flyover|nakuru
CHANIA TRAVELLERS SACCO,ADR-EPJSJ6A,"thika, flyover, nakuru",thika|flyover|nakuru
CHANIA TRAVELLERS SACCO,ADR-2DVSB6R,"nairobi, mwingi,thika,matuu, kitui",nairobi|mwingi|thika|matuu|kitui
CHANIA TRAVELLERS SACCO,ADR-K9BFBOV,"nairobi, nyeri, thika",nairobi|nyeri|thika
