route,corridor,from_terminus,to_terminus,sacco,permit_no,coverage,hits_of_total,via_raw,confidence,VERDICT
105,,Kikuyu Terminus,Odeon Terminus,LATEMA 22 TRAVELLERS SACCO,ADR-K9BF6JL,1.00,5/5,"odeon, kinoo,westlands, kangemi, uthiru",high,
105,,Kikuyu Terminus,Odeon Terminus,STARBUS COMPANY (K) LTD,ADR-7WRS93P,1.00,5/5,"odeon, westlands, kangemi, uthiru, kinoo",high,
106,,Koja/Nation Centre,Banana Terminus,GMK SACCO LIMITED,NTR-00202202241345360,1.00,3/3,"Ngara, Outering Rd Kayole Eastern Bypass Kangundo Rd Ruai Northern Bypass Mwihoko via Thika Muranga Karatina Kiriaini NyeriEmbu, Voi",high,
106,,Koja/Nation Centre,Banana Terminus,KIAMBU MARAFIKI SACCO LTD,NTR-00201901180908040,1.00,3/3,"ngara, kiambu, githunguri",high,
106,,Koja/Nation Centre,Banana Terminus,prime  transcity limited,ADR-MDMSMO6,1.00,3/3,"Kangundo rd, Kamulu Eastern bypass Cabanas Outering rd Tassia link Savannah Komarock Umoja komarock rd Heshima rd Jogoo rd Muthurwa Gikomba Eastleigh juja rd Mihango, Ruiru underpass",high,
106,,Koja/Nation Centre,Banana Terminus,prime  transcity limited,ADR-YM3SL58,1.00,3/3,"Kangundo rd, Kamulu Eastern bypass Cabanas Outering rd alsops Tassia link Savannah Komarock Umoja kayole komarock rd Heshima rd Jogoo rd otc Muthurwa Gikomba Eastleigh juja rd Mihango, Ruiru underpass",high,
106,,Koja/Nation Centre,Banana Terminus,TIKAGI SAVINGS AND CREDIT COOPERATIVE SOCIETY LIMITED,NTR-00202108091426140,1.00,3/3,"kiambu, tatu city ruiru tinganga roysambu ruaka githurai 44 kahawa westgithurai 45 mwiki gatundu thika ikinu, githunguri",high,
107,,Odeon,Karura Mwisho,GMK SACCO LIMITED,NTR-00202202241345360,1.00,3/3,"Ngara, Outering Rd Kayole Eastern Bypass Kangundo Rd Ruai Northern Bypass Mwihoko via Thika Muranga Karatina Kiriaini NyeriEmbu, Voi",high,
107,,Odeon,Karura Mwisho,tawala shuttle limited,NTR-001183,1.00,3/3,"Kangundo Rd, Outering Rd Githunguri Utawala Jogoo Rd Mombasa Rd Mbagathi Rd GPO via Ngong Rd, Ambassador",high,
107,,Odeon,Karura Mwisho,LOPHA MULTIPURPOSE CO-OPERATIVE SOCIETY,ADR-3ZQSJ2A,0.67,4/6,"odeon, pangani, highridge, karura, rwaka, ndenderu",medium,
107,,Odeon,Karura Mwisho,RUNKA SERVICES COOPERATIVE SAVINGS AND CREDIT SOCIETY LTD,ADR-MDMSAM9,0.67,4/6,"odeon, pangani, highridge, karura, rwaka, ndenderu",medium,
107,,Odeon,Karura Mwisho,8B SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,NTR-00202101181143450,0.67,2/3,"Fig tree, Thika rd Kariokor Gikomba Juja rd Eastleigh KiambiuJericho Jogoo rd Buruburu Outering rd Donholm(caltex) Cabanas Likoni rd Lungalunga rd Kariobangi south, Kangundo rd",medium,
108,,Poland Embassy,Gasolina/Gichagi Mwisho,BAKAKI 101 TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,NTR-00201911291135300,0.67,2/3,"Kiambu, Bypass Ruaka Banana Ndenderu Wangige Kikuyu Rusingiti Kamangu Thigio Mutarakwa Limuru, Tigoni",medium,
108,,Poland Embassy,Gasolina/Gichagi Mwisho,BAKAKI 101 TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,ADR-2DVSRWK,0.67,2/3,"Kiambu, BananaRuakaNdenderuWangigeKikuyuRusingitiKamanguThigioMutarakwaLimuru, Tigoni",medium,
108,,Poland Embassy,Gasolina/Gichagi Mwisho,EASTERN BYPASS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,ADR-REOSRR7,0.67,2/3,"Bus Station, Jogoo rdMuthurwaGikombaKariokorJuja RdOuteringRdAllsopsKariobangi dandoraMoslemmlolongomombasa rdCabanasEasternBypassUtawalaRuiruRoundaboutkangundordruaijoskamalaatalaThikaMakongenikiskionidonyosabukukilimambogo, Nyeri",medium,
108,,Poland Embassy,Gasolina/Gichagi Mwisho,EASTERN BYPASS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,ADR-MDMSQQ3,0.67,2/3,"Bus Station, Jogoo rdMuthurwaGikombaKariokorJuja RdOuteringRdAllsopsKariobangi dandoraMoslemmlolongomombasa rdCabanasEasternBypassUtawalaRuiruRoundaboutkangundordruaijoskamalaatalaThikaMakongenikiskionidonyosabukukilimambogo, Nyeri",medium,
108,,Poland Embassy,Gasolina/Gichagi Mwisho,LIKAMBU MATATU SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,NTR-001334,0.50,2/4,"limuru, tigoni,kanunga, kiambu",low,
110,,Easy Coach/Uchumi,Kitengela,INDIMA (NJE) SACCO,NTR-00202203171440590,1.00,3/3,"Bus Station, Mombasa Rd Syokimau Athi River, Kitengela",high,
110,,Easy Coach/Uchumi,Kitengela,BENJO( K) LTD,NTR-00741,0.67,2/3,"Bus Station, Jogoo rd Muthurwa Gikomba Kariokor Juja Rd OuteringRd Allsops Kariobangi dandora Moslem machakos mlolongo mombasa rd Cabanas EasternBypass Utawala Ruiru Roundabout kangundo rd ruai joska malaa tala Thika Makongeni kiskioni donyosabuk kilimambogo, Nyeri",medium,
110,,Easy Coach/Uchumi,Kitengela,COUNTY LINK SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,NTR-00202011241151430,0.67,2/3,"Bus Station, Hazina Kangundo rd Ruai Kamulu Utawala Mombasa rd Mlolongo, Katani",medium,
110,,Easy Coach/Uchumi,Kitengela,COUNTY LINK SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,NTR-00202211011653270,0.67,2/3,"Bus Station, Jogoo Rd Industrial Area Buruburu Hazina Donholm Manyanja Rd Outering Rd Kangundo Rd Eastern Bypass Ruai Kamulu Utawala Mombasa Rd Mlolongo via Syokimau, Katani",medium,
110,,Easy Coach/Uchumi,Kitengela,EASTERN BYPASS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,NTR-00741,0.67,2/3,"Bus Station, Jogoo rd Muthurwa Gikomba Kariokor Juja Rd OuteringRd Allsops Kariobangi dandora Moslem machakos mlolongo mombasa rd Cabanas EasternBypass Utawala Ruiru Roundabout kangundo rd ruai joska malaa tala Thika Makongeni kiskioni donyosabuk kilimambogo, Nyeri",medium,
111,,Railways,Ngong Bus Terminus,KIBERA BURETI SACCO,NTR-00260,1.00,3/3,"Railways, KNH Yaya City stadium Ngara Muthurwa St Marys Kinoo Kikuyu Karen Lenana Racecourse Kawangware Westlands, Kibera",high,
111,,Railways,Ngong Bus Terminus,KIBERA BURETI SACCO,ADR-MDMSKW8,1.00,3/3,"railways, kibera, ngong road",high,
111,,Railways,Ngong Bus Terminus,KIBERA BURETI SACCO,ADR-ZZJS9OP,1.00,3/3,"railways, ngong road, kibera",high,
111,,Railways,Ngong Bus Terminus,KIBERA MATATU OWNERS COOPERATIVE SAVINGS AND CREDIT SOCIETY LIMITED,ADR-EPJSA7P,1.00,3/3,"railways, ngong road, kibera",high,
111,,Railways,Ngong Bus Terminus,KIBERA MATATU OWNERS COOPERATIVE SAVINGS AND CREDIT SOCIETY LIMITED,ADR-7WRS7R8,1.00,3/3,"railways, kibera, ngong road",high,
115,,Koja,Limuru Town Terminal,FORWARD TRAVELLERS SACCO LTD,ADR-O68IMM7,1.00,3/3,"Malaa, KayoleJoskaKamuluRuaiSaikaMowlemKariobangiGikomba, Bus station",high,
115,,Koja,Limuru Town Terminal,INTEGRITY INTERCITY LIMITED,NTR-00201911081554190,1.00,3/3,"Khoja, Thika rd outering rd Ngumba eastern bypass juja farm Forest roadMuseum roadWaiyaki wayKinoo kikuyu wangige ndenderu rironi, Limuru",high,
115,,Koja,Limuru Town Terminal,KARIOBANGI MATATU OWNERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,NTR-00202101251614210,1.00,3/3,"Kariobangi, Juja rd Gikomba Kariokor Ronald ngala Commercial Thika rd Alsops Outering rd, Kariobangi south",high,
115,,Koja,Limuru Town Terminal,2KR ROUTE 105 MULTIPURPOSE COOPERATIVE SOCIETY LIMITED,ADR-WZ9S3ZE,0.67,4/6,"tommboya, westlands,kinoo,kikuyu,kamangu, limuru",medium,
115,,Koja,Limuru Town Terminal,NAKILI SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,ADR-POKS7Q6,0.67,4/6,"westlands, kinoo,kikuyu,thogoto,kamangu, limuru",medium,
116,,Koja,Limuru Terminus,LIKAMBU MATATU SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,NTR-001334,1.00,4/4,"limuru, tigoni,kanunga, kiambu",high,
116,,Koja,Limuru Terminus,BAKAKI 101 TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,ADR-K9BF6JM,1.00,3/3,"kiambu, banana, limuru",high,
116,,Koja,Limuru Terminus,EASTERN KUBAMBA LIMITED,NTR-00202104141601500,1.00,3/3,"Bus Station, gikomba jogoo rd juja rd ouering rd mombasa rd kariobangi komarock rd kangundo rd eastern by pass ruiru thika makongenikangundo machakos kitui mwingi mutomo kibwezi, Voi",high,
116,,Koja,Limuru Terminus,KARURI COMMUTERS SERVICES SAVINGS AND CREDIT CO-OPERTAIVE SOCIETY LIMITED,NTR-00340,1.00,3/3,"khoja, banana, limuru",high,
116,,Koja,Limuru Terminus,KARURI COMMUTERS SERVICES SAVINGS AND CREDIT CO-OPERTAIVE SOCIETY LIMITED,ADR-MDMSADY,1.00,3/3,"khoja, limuru, banana",high,
118,,Koja,Wangige Stage,BAKAKI 101 TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,NTR-00201911291135300,1.00,3/3,"Kiambu, Bypass Ruaka Banana Ndenderu Wangige Kikuyu Rusingiti Kamangu Thigio Mutarakwa Limuru, Tigoni",high,
118,,Koja,Wangige Stage,BAKAKI 101 TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,ADR-2DVSRWK,1.00,3/3,"Kiambu, BananaRuakaNdenderuWangigeKikuyuRusingitiKamanguThigioMutarakwaLimuru, Tigoni",high,
118,,Koja,Wangige Stage,HOME SACCO LIMITED,ADR-YM3S6DR,1.00,3/3,"khoja, westlands, wangige",high,
118,,Koja,Wangige Stage,HOME SACCO LIMITED,ADR-ZZJSQAV,1.00,3/3,"khoja, wangige, westlands",high,
118,,Koja,Wangige Stage,WALOKANA MULTIPURPOSE CO-OPERATIVE SOCIETY LTD,ADR-REOSZQO,1.00,3/3,"khoja, wangige, westlands",high,
119,,Koja,Wangige Health Centre,KARIOBANGI MATATU OWNERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,ADR-EPJSABK,1.00,4/4,"kariobangi south, juja road, kariokor, ronald ngara",high,
119,,Koja,Wangige Health Centre,NEEMA TRAVELLERS AGENCY LIMITED,ADR-EPJSABK,1.00,4/4,"kariobangi south, juja road, kariokor, ronald ngara",high,
119,,Koja,Wangige Health Centre,BAKAKI 101 TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,ADR-2DVSRWK,1.00,3/3,"Kiambu, BananaRuakaNdenderuWangigeKikuyuRusingitiKamanguThigioMutarakwaLimuru, Tigoni",high,
119,,Koja,Wangige Health Centre,COUNTY LINK SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,ADR-JY7S3W6,1.00,3/3,"Bus Station, Kangundo rd Ruai Kamulu Utawala, Katani",high,
119,,Koja,Wangige Health Centre,COUNTY LINK SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,ADR-POKSOVD,1.00,3/3,"Bus Station, Kangundo rd Ruai Kamulu Utawala, Katani",high,
11A,,Odeon Terminus,Kwa Mosque/Highridge Mwisho,GMK SACCO LIMITED,NTR-00202202241345360,0.67,2/3,"Ngara, Outering Rd Kayole Eastern Bypass Kangundo Rd Ruai Northern Bypass Mwihoko via Thika Muranga Karatina Kiriaini NyeriEmbu, Voi",medium,
11A,,Odeon Terminus,Kwa Mosque/Highridge Mwisho,GMK SACCO LIMITED,ADR-LZRSW7B,0.67,2/3,"ngara, ruai outering rd northern bypass mwihoko via thika muranga karatina kiriaini nyeri embu, voi",medium,
11A,,Odeon Terminus,Kwa Mosque/Highridge Mwisho,EMBASSAVA COOPERATIVE SAVINGS AND CREDIT SOCIETY LTD,NTR-00465,0.50,3/6,"embakasi, jogoo road, msa road, outereing road,all sops, accra road",low,
11A,,Odeon Terminus,Kwa Mosque/Highridge Mwisho,JONSAGA FLATS SACCO,ADR-MDMSMJL,0.50,2/4,"huruma, juja road, ngara, ronald ngara",low,
11A,,Odeon Terminus,Kwa Mosque/Highridge Mwisho,JONSAGA FLATS SACCO,ADR-ZZJSZ2O,0.50,2/4,"huruma, ronald ngara,juja road, ngara",low,
11B,,Koja,Mayfair,,,,,,unknown,
11C,,Odeon,Pangani Terminal,NABOKA TRAVELLERS SACCO,NTR-00201912031523330,1.00,3/3,"Bus station, BomasKarenGataka, Ongata Rongai",high,
11C,,Odeon,Pangani Terminal,ALDANA TRAVELLERS SACCO,NTR-00418,0.67,2/3,"Ronald Ngala, Ngara Juja Rd Outering Rd Kangundo Rd Dandora Kariobangi Asops Thika Rd Thika, Nyeri",medium,
11C,,Odeon,Pangani Terminal,BABA DOGO 25 TRAVELLERS SACCO,ADR-BQ9S3MQ,0.67,2/3,"Odeon, Muranga rd terminus(via forest rd)thika rdalsopsbaba dogo outering rd caltex juja rd kariokor, donholm",medium,
11C,,Odeon,Pangani Terminal,BABA DOGO 25 TRAVELLERS SACCO,ADR-REOSLYL,0.67,2/3,"Odeon, Muranga rd terminus(via forest rd) thika rdalsops roysambu lucky summer baba dogo outering rd caltex kangundo rd ruai junction utawala city cabanas donholm juja rd, kariokor",medium,
11C,,Odeon,Pangani Terminal,BAKAKI 101 TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,ADR-2DVSRWK,0.67,2/3,"Kiambu, BananaRuakaNdenderuWangigeKikuyuRusingitiKamanguThigioMutarakwaLimuru, Tigoni",medium,
11F,,Odeon,Ruaka Stage,GMK SACCO LIMITED,NTR-00202202241345360,1.00,3/3,"Ngara, Outering Rd Kayole Eastern Bypass Kangundo Rd Ruai Northern Bypass Mwihoko via Thika Muranga Karatina Kiriaini NyeriEmbu, Voi",high,
11F,,Odeon,Ruaka Stage,8B SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,NTR-00202101181143450,0.67,2/3,"Fig tree, Thika rd Kariokor Gikomba Juja rd Eastleigh KiambiuJericho Jogoo rd Buruburu Outering rd Donholm(caltex) Cabanas Likoni rd Lungalunga rd Kariobangi south, Kangundo rd",medium,
11F,,Odeon,Ruaka Stage,BABA DOGO 25 TRAVELLERS SACCO,ADR-REOSLYL,0.67,2/3,"Odeon, Muranga rd terminus(via forest rd) thika rdalsops roysambu lucky summer baba dogo outering rd caltex kangundo rd ruai junction utawala city cabanas donholm juja rd, kariokor",medium,
11F,,Odeon,Ruaka Stage,BYBUSS TRANS LIMITED,NTR-00202007061248330,0.67,2/3,"Khoja via Ngara Rd, WestlandsWangige via Lower Kabete RdNyathunaNgechaKabukuLimuru Kikuyu Kiambu Ruiru, Thika(Makongeni)",medium,
11F,,Odeon,Ruaka Stage,BYBUSS TRANS LIMITED,ADR-BQ9SMJB,0.67,2/3,"Khoja via Ngara Rd, WestlandsWangige via Lower Kabete RdNyathunaNgechaKabuku, Limuru .",medium,
125,,Railways,Kware,FASTRACK UNITED AND CREDIT COOPERATIVE SOCIETY,NTR-00202202221453100,1.00,3/3,"Railways, Community Jamhuri via Ngong Rd Wanyee Satelite Kabiria Kawangware Othaya Rd via Lavington Uthiru via WestlandsDagoretti Market, Kawangware",high,
125,,Railways,Kware,MATATU CREW ASSOCIATION SACCO,NTR-00202011131535140,1.00,3/3,"Railways, Knh Karen Ngong via Ngong rd Kiserian, Ongata Rongai",high,
125,,Railways,Kware,LANKANA SACCO SOCIETY LIMITED,ADR-2DVSRVL,0.80,4/5,"karen, hardy, bomas, langata road, railways",high,
125,,Railways,Kware,LANKANA SACCO SOCIETY LIMITED,ADR-K9BF6Q7,0.80,4/5,"karen, railways,hardy, bomas, langata road",high,
125,,Railways,Kware,LUMINOUS SHUTTLES LIMITED,ADR-O68IVBW,0.80,4/5,"karen, hardy, bomas, langata road, railways",high,
126,,Railways,Kiserian,FASTRACK UNITED AND CREDIT COOPERATIVE SOCIETY,NTR-00202202221453100,1.00,3/3,"Railways, Community Jamhuri via Ngong Rd Wanyee Satelite Kabiria Kawangware Othaya Rd via Lavington Uthiru via WestlandsDagoretti Market, Kawangware",high,
126,,Railways,Kiserian,LANKANA SACCO SOCIETY LIMITED,NTR-00202105240920410,1.00,3/3,"karen, bomas gataka rd ongata rongai kiserian isinya ngong, Kawangware",high,
126,,Railways,Kiserian,MATATU CREW ASSOCIATION SACCO,NTR-00202011131535140,1.00,3/3,"Railways, Knh Karen Ngong via Ngong rd Kiserian, Ongata Rongai",high,
126,,Railways,Kiserian,Nailepu Travellers Sacco,ADR-JY7SLBZ,1.00,3/3,"Nairobi, Kitengela Sultan Hamud Emali Kimana Loitoktok Namanga Bissil Kajiado Isinya Kiserian Ngong, Rongai",high,
126,,Railways,Kiserian,NGONG TRAVELLERS SACCO,NTR-00202003161526160,1.00,3/3,"Kiserian, NgongKarenNduyuYayaGpoAmbassadorRailwaysHaile sellasieMbagathi rd, Langata",high,
129,,Kikuyu Terminus,Wangige Stage,BENJO( K) LTD,NTR-00741,0.67,2/3,"Bus Station, Jogoo rd Muthurwa Gikomba Kariokor Juja Rd OuteringRd Allsops Kariobangi dandora Moslem machakos mlolongo mombasa rd Cabanas EasternBypass Utawala Ruiru Roundabout kangundo rd ruai joska malaa tala Thika Makongeni kiskioni donyosabuk kilimambogo, Nyeri",medium,
129,,Kikuyu Terminus,Wangige Stage,EASTERN BYPASS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,NTR-00741,0.67,2/3,"Bus Station, Jogoo rd Muthurwa Gikomba Kariokor Juja Rd OuteringRd Allsops Kariobangi dandora Moslem machakos mlolongo mombasa rd Cabanas EasternBypass Utawala Ruiru Roundabout kangundo rd ruai joska malaa tala Thika Makongeni kiskioni donyosabuk kilimambogo, Nyeri",medium,
129,,Kikuyu Terminus,Wangige Stage,EASTERN BYPASS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,ADR-REOSRR7,0.67,2/3,"Bus Station, Jogoo rdMuthurwaGikombaKariokorJuja RdOuteringRdAllsopsKariobangi dandoraMoslemmlolongomombasa rdCabanasEasternBypassUtawalaRuiruRoundaboutkangundordruaijoskamalaatalaThikaMakongenikiskionidonyosabukukilimambogo, Nyeri",medium,
129,,Kikuyu Terminus,Wangige Stage,EASTERN BYPASS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,ADR-MDMSQQ3,0.67,2/3,"Bus Station, Jogoo rdMuthurwaGikombaKariokorJuja RdOuteringRdAllsopsKariobangi dandoraMoslemmlolongomombasa rdCabanasEasternBypassUtawalaRuiruRoundaboutkangundordruaijoskamalaatalaThikaMakongenikiskionidonyosabukukilimambogo, Nyeri",medium,
129,,Kikuyu Terminus,Wangige Stage,KIWALIRU SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,NTR-00202102241508470,0.67,2/3,"Kikuyu, wangige kanyariri ndumbuini kiambu, Limuru",medium,
12C,,Bus Station,Container/New Apostolic Church,EASTERN KUBAMBA LIMITED,NTR-00202104141601500,0.67,2/3,"Bus Station, gikomba jogoo rd juja rd ouering rd mombasa rd kariobangi komarock rd kangundo rd eastern by pass ruiru thika makongenikangundo machakos kitui mwingi mutomo kibwezi, Voi",medium,
12C,,Bus Station,Container/New Apostolic Church,NABOKA TRAVELLERS SACCO,ADR-537HBY7,0.67,2/3,"bus station, bomas, karen",medium,
12C,,Bus Station,Container/New Apostolic Church,NABOKA TRAVELLERS SACCO,ADR-A5ACK2P,0.67,2/3,"bus station, karen, bomas",medium,
12C,,Bus Station,Container/New Apostolic Church,NABOKA TRAVELLERS SACCO,NTR-001389,0.50,2/4,"bus station, bomas,karen, gataka",low,
12C,,Bus Station,Container/New Apostolic Church,TELAVIV TRAVELLERS LIMITED,ADR-YM3S6Q9,0.50,2/4,"bus station, south c,southb, industrial area",low,
12D,,Bus Station,Highway Estate,EASTERN KUBAMBA LIMITED,NTR-00202104141601500,0.67,2/3,"Bus Station, gikomba jogoo rd juja rd ouering rd mombasa rd kariobangi komarock rd kangundo rd eastern by pass ruiru thika makongenikangundo machakos kitui mwingi mutomo kibwezi, Voi",medium,
12D,,Bus Station,Highway Estate,NABOKA TRAVELLERS SACCO,ADR-537HBY7,0.67,2/3,"bus station, bomas, karen",medium,
12D,,Bus Station,Highway Estate,NABOKA TRAVELLERS SACCO,ADR-A5ACK2P,0.67,2/3,"bus station, karen, bomas",medium,
12D,,Bus Station,Highway Estate,NGONG TRAVELLERS SACCO,NTR-00202109161630370,0.67,2/3,"magadi, kiserian ongataRongai ngong Karen ndunyu knh Yaya langata nyayo stadium mbagathi GPO ambassador railways Mombasa Rd outering rd jogoo Rd. Kangundo Rd njiru, Utawala .",medium,
12D,,Bus Station,Highway Estate,NABOKA TRAVELLERS SACCO,NTR-001389,0.50,2/4,"bus station, bomas,karen, gataka",low,
135,,Kaka Terminal,Limuru Town Terminal,FORWARD TRAVELLERS SACCO LTD,ADR-O68IMM7,1.00,3/3,"Malaa, KayoleJoskaKamuluRuaiSaikaMowlemKariobangiGikomba, Bus station",high,
135,,Kaka Terminal,Limuru Town Terminal,KARIOBANGI MATATU OWNERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,NTR-00202101251614210,1.00,3/3,"Kariobangi, Juja rd Gikomba Kariokor Ronald ngala Commercial Thika rd Alsops Outering rd, Kariobangi south",high,
135,,Kaka Terminal,Limuru Town Terminal,2KR ROUTE 105 MULTIPURPOSE COOPERATIVE SOCIETY LIMITED,ADR-WZ9S3ZE,0.67,4/6,"tommboya, westlands,kinoo,kikuyu,kamangu, limuru",medium,
135,,Kaka Terminal,Limuru Town Terminal,NAKILI SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,ADR-POKS7Q6,0.67,4/6,"westlands, kinoo,kikuyu,thogoto,kamangu, limuru",medium,
135,,Kaka Terminal,Limuru Town Terminal,2KR ROUTE 105 MULTIPURPOSE COOPERATIVE SOCIETY LIMITED,NTR-00346,0.67,2/3,"Tommboya, KawangwarekikuyuwestlandsThika RdMakongeniruirukiambuwangige, Limuru",medium,
14A,,Bus Station,Strathmore/Siwaka,KENYA BUS SERVICE MANAGEMENT LIMITED,NTR-00202108060801500,0.67,2/3,"Bus Station, city stadium lusaka rd enterprise rd likoni rd jogoo rd kangundo rd via eastern bypass mombasa rd langata rd kungu karumba rd ngong rd karen dagoretti yaya centre limuru rd, Ruaka",medium,
14A,,Bus Station,Strathmore/Siwaka,METROTRANS EAST AFRICA LIMITED,NTR-00947,0.67,2/3,"nairobi, narok, bomet",medium,
14A,,Bus Station,Strathmore/Siwaka,NAZIGI SACCO LIMITED,NTR-00202012291237110,0.67,2/3,"KNH, nairobi westlands Wangari Maathai rd Kiambu rd bypass Githurai Kahawa West ruiru Thika(makongeni) eastern bypass ruai kangundo rd utawala Outering rd Juja Rd via Eastleigh cabanas, alsops",medium,
14A,,Bus Station,Strathmore/Siwaka,RWAKEN INVESTMENTS LIMITED,NTR-00948,0.67,2/3,"nairobi, within, nairobi",medium,
14A,,Bus Station,Strathmore/Siwaka,ST. MARYS TRANSPORT SACCO SOCIETY,NTR-00202108060801500,0.67,2/3,"Bus Station, city stadium lusaka rd enterprise rd likoni rd jogoo rd kangundo rd via eastern bypass mombasa rd langata rd kungu karumba rd ngong rd karen dagoretti yaya centre limuru rd, Ruaka",medium,
14B,,Bus Station,T-Mall,METROTRANS EAST AFRICA LIMITED,NTR-00947,0.67,2/3,"nairobi, narok, bomet",medium,
14B,,Bus Station,T-Mall,RWAKEN INVESTMENTS LIMITED,NTR-00948,0.67,2/3,"nairobi, within, nairobi",medium,
14B,,Bus Station,T-Mall,METROTRANS EAST AFRICA LIMITED,NTR-00363,0.50,2/4,"nairobi, kikuyu, narok, bomet",low,
14B,,Bus Station,T-Mall,METROTRANS EAST AFRICA LIMITED,ADR-YM3SBQV,0.50,2/4,"nairobi, bomet,kikuyu, narok",low,
14B,,Bus Station,T-Mall,WEST MADARAKA ROUTE 14 COOPERATIVE SACCO.,ADR-BQ9SQ86,0.50,2/4,"bus station, west madaraka, langata rd, strathmore",low,
17A,,Rounda,Calvary,DANDORA USAFIRI TRAVELLERS SACCO,NTR-00356,0.67,2/3,"Dandora, juja rd thika rdring rd komarock rd baraka slip rd kangundo rd outering rd jogoo rd heshima rd ambira gikomba, ronald ngala",medium,
17A,,Rounda,Calvary,DIX-HULT MATATU OWNER SACCO,ADR-A5AC8Z7,0.67,2/3,"kayole, komarocksmolemjuja road, eastleigh",medium,
17A,,Rounda,Calvary,ECOSA TRAVELLERS SACCO,NTR-00202009231508320,0.67,2/3,"Ronald Ngala, Kariokor Gikomba Dandora Juja Rd Outering Rd Kangundo Rd Saika Komarock Rd Kariobangi Alsops Thika Rd, Thika",medium,
17A,,Rounda,Calvary,FIVE FRIENDS INVESTMENT COMPANY LIMITED,ADR-8LMS562,0.67,2/3,"Ngara, Huruma Dandora Molem road Kangundo roadMalaauUtawala Mlolongo Outering rd Thika rd Gikomba Jogoo rd Savannah, Kayole",medium,
17A,,Rounda,Calvary,FORWARD TRAVELLERS SACCO LTD,NTR-00202002041322540,0.67,2/3,"Kayole, KomarocksMowlemJuja rdEastleigh, Alsops",medium,
18C,,Kanisani,Eastleigh Terminal,CIRCULAR CLASSIC COMPANY LIMITED,NTR-00202111051642530,1.00,3/3,"eastleigh, northern bypass eastern bypass jogoo rd mombasa rd utawala, ruai",high,
18C,,Kanisani,Eastleigh Terminal,CBET SACCO,NTR-00202104141523000,0.67,2/3,"kyumbi, malili, konza city",medium,
18C,,Kanisani,Eastleigh Terminal,CIRCULAR CLASSIC COMPANY LIMITED,NTR-00202111121600130,0.67,2/3,"eastleigh, jogoo rd mombasa rd utawala eastern bypass mwihoko kawaha west via mwiki northern bypass, ruiru",medium,
18C,,Kanisani,Eastleigh Terminal,COUNTY LINK SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,NTR-00202011241151430,0.67,2/3,"Bus Station, Hazina Kangundo rd Ruai Kamulu Utawala Mombasa rd Mlolongo, Katani",medium,
18C,,Kanisani,Eastleigh Terminal,COUNTY LINK SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,NTR-00202211011653270,0.67,2/3,"Bus Station, Jogoo Rd Industrial Area Buruburu Hazina Donholm Manyanja Rd Outering Rd Kangundo Rd Eastern Bypass Ruai Kamulu Utawala Mombasa Rd Mlolongo via Syokimau, Katani",medium,
23W,,Nation Building Terminal,Westlands Terminal,,,,,,unknown,
24C,,Kencom,Karen,BURUBURU 58 TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,ADR-7WRSVZ6,0.67,2/3,"Commercial, muthurwaJogoo road Lusaka Enterprise rd Likoni rd Jericho Buruburu Rabai rd Outering rd Alsops Kangundo rd Eastern bypass, Malaa",medium,
