route,corridor,from_terminus,to_terminus,sacco,permit_no,coverage,hits_of_total,via_raw,confidence,VERDICT
4W,,Railways,Chemist/Kwa Maji/Kaberia,KIBERA MATATU OWNERS COOPERATIVE SAVINGS AND CREDIT SOCIETY LIMITED,ADR-EPJSA7P,1.00,3/3,"railways, ngong road, kibera",high,
4W,,Railways,Chemist/Kwa Maji/Kaberia,KIBERA MATATU OWNERS COOPERATIVE SAVINGS AND CREDIT SOCIETY LIMITED,ADR-7WRS7R8,1.00,3/3,"railways, kibera, ngong road",high,
53,,Roasters,Maruirui,MERUIT LOGISTICS LIMITED,NTR-00202009231509490,0.67,2/3,"Marurui, Northern Bypass, Ruiru .",medium,
53,,Roasters,Maruirui,MERUIT LOGISTICS LIMITED,ADR-9AKF2D9,0.67,2/3,"Odeon, Thika road marurui, Ruiru",medium,
53,,Roasters,Maruirui,SUPER METRO LIMITED,NTR-00202006121135460,0.67,2/3,"Ruiru, RuakaWangigeKikuyuWaiyakiwayWestlandsMoi avenueTomboyaThika rdKasaraniJujaThika, Thika-Makongeni",medium,
53,,Roasters,Maruirui,SUPER METRO LIMITED,ADR-A5ACQDD,0.67,2/3,"Ruiru, Ruaka Wangige Kikuyu Waiyaki way Westlands Moi Avenue Tom Mboya Thika rd Kasarani Juja Thika (Thika makongeni) Oldonyo Sabuk Kilimambogo Tala Machakos Mombasa rd, Mlolongo",medium,
53,,Roasters,Maruirui,SUPER METRO LIMITED,ADR-9AKF2PP,0.67,2/3,"Ruiru, Ruaka Wangige Kikuyu Waiyaki way Westlands Moi Avenue Tom Mboya Thika rd Kasarani Juja Thika (Thika makongeni) Oldonyo Sabuk Kilimambogo Tala Machakos Mombasa rd, Mlolongo",medium,
56,,Railways,Kanungaga/56 Mwisho,KIRAGI TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,NTR-00202011171405560,1.00,3/3,"Railways, KNH Yaya Ngong Karen Satelite Kibera westlands St Marys Gikomba Eastleigh Nyayo City Stadium, Mlolongo",high,
56,,Railways,Kanungaga/56 Mwisho,FASTRACK UNITED AND CREDIT COOPERATIVE SOCIETY,NTR-0042,0.67,2/3,"railways, yaya, kawangware",medium,
56,,Railways,Kanungaga/56 Mwisho,FASTRACK UNITED AND CREDIT COOPERATIVE SOCIETY,ADR-3ZQS3MO,0.67,2/3,"railways, kawangware, yaya",medium,
56,,Railways,Kanungaga/56 Mwisho,FIVE FRIENDS INVESTMENT COMPANY LIMITED,NTR-00202008111557230,0.67,2/3,"Huruma, Outering road, Mlolongo",medium,
